종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액,수급일자,기관순매수,외국인순매수
유진로봇 *,37550.0,+18.83%,5399760.0,201468.0,2722365.0,056080,https://kr.tradingview.com/symbols/KRX-056080/,"14,086억",2026.02.09,33445,654345
라이콤 *,2855.0,+14.66%,4093058.0,11562.0,269740.0,388790,https://kr.tradingview.com/symbols/KRX-388790/,874억,2026.02.09,0,222339
하이비젼시스템 *,19200.0,+13.81%,593639.0,11073.0,157363.0,126700,https://kr.tradingview.com/symbols/KRX-126700/,"2,869억",2026.02.09,84528,115792
아이쓰리시스템 *,120500.0,+9.85%,78689.0,9199.0,241538.0,214430,https://kr.tradingview.com/symbols/KRX-214430/,"8,805억",2026.02.09,33098,-22626
켐트로닉스 *,35000.0,+7.69%,321510.0,11100.0,291523.0,089010,https://kr.tradingview.com/symbols/KRX-089010/,"5,719억",2026.02.09,-6785,116259
슈어소프트테크 *,8070.0,+7.17%,1403827.0,11143.0,1714580.0,298830,https://kr.tradingview.com/symbols/KRX-298830/,"4,314억",2026.02.09,-1787,98387
삼성전기,304000.0,+7.04%,685190.0,205546.0,545238.0,009150,https://kr.tradingview.com/symbols/KRX-009150/,"227,069억",2026.02.09,114979,129390
유니퀘스트,6710.0,+6.85%,371997.0,2444.0,266888.0,077500,https://kr.tradingview.com/symbols/KRX-077500/,"1,449억",2026.02.09,-670,91066
퀄리타스반도체 *,13870.0,+6.61%,187696.0,2588.0,180939.0,432720,https://kr.tradingview.com/symbols/KRX-432720/,"1,962억",2026.02.09,0,70260
현대오토에버,417000.0,+6.51%,157244.0,66271.0,162390.0,307950,https://kr.tradingview.com/symbols/KRX-307950/,"114,358억",2026.02.09,-63,17401
유니트론텍 *,6570.0,+6.14%,428285.0,2775.0,524822.0,142210,https://kr.tradingview.com/symbols/KRX-142210/,"1,380억",2026.02.09,398,111659
SK텔레콤,73400.0,+6.07%,1479780.0,108409.0,2886610.0,017670,https://kr.tradingview.com/symbols/KRX-017670/,"157,656억",2026.02.09,313837,86469
칩스앤미디어 *,19820.0,+6.05%,380213.0,7501.0,283503.0,094360,https://kr.tradingview.com/symbols/KRX-094360/,"4,218억",2026.02.09,84,87079
아우토크립트 *,15400.0,+5.77%,84522.0,1277.0,267227.0,331740,https://kr.tradingview.com/symbols/KRX-331740/,"1,497억",2026.02.09,-1935,24925
SK하이닉스,887000.0,+5.72%,4228584.0,3746145.0,5581574.0,000660,https://kr.tradingview.com/symbols/KRX-000660/,"6,457,381억",2026.02.09,745055,-162083
앤씨앤 *,770.0,+5.48%,403663.0,314.0,1757832.0,092600,https://kr.tradingview.com/symbols/KRX-092600/,193억,2026.02.09,0,19972
한라캐스트 *,20350.0,+5.44%,1075306.0,21559.0,1340167.0,125490,https://kr.tradingview.com/symbols/KRX-125490/,"7,428억",2026.02.09,-14121,109065
스마트레이더시스템 *,7760.0,+5.43%,159647.0,1215.0,229853.0,424960,https://kr.tradingview.com/symbols/KRX-424960/,"1,279억",2026.02.09,1601,-14598
KT,59300.0,+5.33%,626248.0,36460.0,704494.0,030200,https://kr.tradingview.com/symbols/KRX-030200/,"149,449억",2026.02.09,219594,-1218
모트렉스 *,9720.0,+5.08%,274695.0,2657.0,261894.0,118990,https://kr.tradingview.com/symbols/KRX-118990/,"2,417억",2026.02.09,0,76746
