종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
에코프로에이치엔 *,44050.0,+20.85%,2857286.0,125931.0,2600309.0,383310,https://kr.tradingview.com/symbols/KRX-383310/,2026.01.28,50334,63840
미래에셋증권,40850.0,+17.39%,19734638.0,756532.0,4579622.0,006800,https://kr.tradingview.com/symbols/KRX-006800/,2026.01.28,300407,-544585
한미반도체,203500.0,+11.81%,7158595.0,1436267.0,2220792.0,042700,https://kr.tradingview.com/symbols/KRX-042700/,2026.01.28,114120,122369
클래시스 *,75600.0,+11.34%,1463061.0,108078.0,718826.0,214150,https://kr.tradingview.com/symbols/KRX-214150/,2026.01.28,236095,56873
한국금융지주,221500.0,+9.38%,345877.0,73867.0,274238.0,071050,https://kr.tradingview.com/symbols/KRX-071050/,2026.01.28,3907,-10863
솔브레인 *,450000.0,+9.09%,134199.0,56962.0,172669.0,357780,https://kr.tradingview.com/symbols/KRX-357780/,2026.01.28,81036,-37156
키움증권,426000.0,+7.85%,269676.0,112506.0,180995.0,039490,https://kr.tradingview.com/symbols/KRX-039490/,2026.01.28,2546,8071
현대차,528000.0,+7.21%,5421294.0,2776866.0,2514604.0,005380,https://kr.tradingview.com/symbols/KRX-005380/,2026.01.28,-219931,-370264
피에스케이홀딩스 *,78600.0,+6.50%,601829.0,45645.0,404909.0,031980,https://kr.tradingview.com/symbols/KRX-031980/,2026.01.28,144051,-38341
현대글로비스,255500.0,+6.24%,860327.0,215424.0,472924.0,086280,https://kr.tradingview.com/symbols/KRX-086280/,2026.01.28,-35818,-184680
동진쎄미켐 *,51400.0,+6.09%,2659941.0,134082.0,2279660.0,005290,https://kr.tradingview.com/symbols/KRX-005290/,2026.01.28,401439,-29058
리노공업 *,92100.0,+5.98%,2413540.0,218963.0,1972865.0,058470,https://kr.tradingview.com/symbols/KRX-058470/,2026.01.28,772108,-862920
이녹스첨단소재 *,32600.0,+5.16%,1021432.0,32009.0,821992.0,272290,https://kr.tradingview.com/symbols/KRX-272290/,2026.01.28,151653,55295
JB금융지주,25150.0,+5.01%,696391.0,17234.0,632426.0,175330,https://kr.tradingview.com/symbols/KRX-175330/,2026.01.28,31901,-104246
DB손해보험,143300.0,+4.98%,265960.0,37609.0,181475.0,005830,https://kr.tradingview.com/symbols/KRX-005830/,2026.01.28,5319,10026
한미사이언스,42600.0,+4.93%,454676.0,19146.0,361602.0,008930,https://kr.tradingview.com/symbols/KRX-008930/,2026.01.28,1189,-13713
JW중외제약,31700.0,+4.62%,346674.0,10905.0,186160.0,001060,https://kr.tradingview.com/symbols/KRX-001060/,2026.01.28,10133,5074
원텍 *,9390.0,+4.57%,1812760.0,17021.0,999685.0,336570,https://kr.tradingview.com/symbols/KRX-336570/,2026.01.28,369455,-144020
롯데렌탈,31150.0,+4.53%,116075.0,3571.0,153847.0,089860,https://kr.tradingview.com/symbols/KRX-089860/,2026.01.28,-37442,28438
엘앤씨바이오 *,78000.0,+4.28%,923141.0,70235.0,1407231.0,290650,https://kr.tradingview.com/symbols/KRX-290650/,2026.01.28,124886,578081
한화시스템,92800.0,+4.27%,3059782.0,277561.0,1266337.0,272210,https://kr.tradingview.com/symbols/KRX-272210/,2026.01.28,-46602,117815
아모레퍼시픽,139500.0,+4.18%,654846.0,91164.0,303278.0,090430,https://kr.tradingview.com/symbols/KRX-090430/,2026.01.28,10658,68118
제일기획,21750.0,+4.07%,697159.0,14976.0,388593.0,030000,https://kr.tradingview.com/symbols/KRX-030000/,2026.01.28,-77761,-3157
풍산,129500.0,+3.93%,592726.0,74991.0,261713.0,103140,https://kr.tradingview.com/symbols/KRX-103140/,2026.01.28,-9930,31695
삼성증권,91700.0,+3.85%,800954.0,71727.0,712984.0,016360,https://kr.tradingview.com/symbols/KRX-016360/,2026.01.28,-679,17481
파마리서치 *,534000.0,+3.69%,327296.0,176258.0,240928.0,214450,https://kr.tradingview.com/symbols/KRX-214450/,2026.01.28,82310,-53490
한전기술,138800.0,+3.66%,942105.0,131334.0,596972.0,052690,https://kr.tradingview.com/symbols/KRX-052690/,2026.01.28,-62663,74730
솔루스첨단소재,8600.0,+3.61%,635586.0,5365.0,650295.0,336370,https://kr.tradingview.com/symbols/KRX-336370/,2026.01.28,-15691,166069
기아,154900.0,+3.47%,2421360.0,370757.0,1756119.0,000270,https://kr.tradingview.com/symbols/KRX-000270/,2026.01.28,-197286,-393489
NICE평가정보,17530.0,+3.06%,118990.0,2077.0,74387.0,030190,https://kr.tradingview.com/symbols/KRX-030190/,2026.01.28,9878,-234
메가스터디교육 *,47550.0,+2.92%,108150.0,5088.0,102311.0,215200,https://kr.tradingview.com/symbols/KRX-215200/,2026.01.28,67273,-22812
