종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
프로텍 *,51000.0,+27.50%,974454.0,48142.0,97989.0,053610,https://kr.tradingview.com/symbols/KRX-053610/
리노공업 *,105900.0,+14.98%,3108007.0,330013.0,2413540.0,058470,https://kr.tradingview.com/symbols/KRX-058470/
SFA반도체 *,7840.0,+14.29%,27125815.0,208495.0,11492280.0,036540,https://kr.tradingview.com/symbols/KRX-036540/
예스티 *,21700.0,+12.84%,870790.0,18017.0,267367.0,122640,https://kr.tradingview.com/symbols/KRX-122640/
피에스케이 *,61500.0,+12.64%,1126300.0,67555.0,1087060.0,319660,https://kr.tradingview.com/symbols/KRX-319660/
한화비전,61800.0,+11.55%,4385247.0,269449.0,1228978.0,489790,https://kr.tradingview.com/symbols/KRX-489790/
디아이티 *,21900.0,+9.50%,703546.0,15833.0,396337.0,110990,https://kr.tradingview.com/symbols/KRX-110990/
다원넥스뷰 *,9330.0,+8.61%,395806.0,3484.0,275489.0,323350,https://kr.tradingview.com/symbols/KRX-323350/
케이씨텍,47250.0,+8.12%,483470.0,22494.0,348196.0,281820,https://kr.tradingview.com/symbols/KRX-281820/
티씨케이 *,238000.0,+7.45%,157715.0,37134.0,199031.0,064760,https://kr.tradingview.com/symbols/KRX-064760/
주성엔지니어링 *,41350.0,+6.57%,2296499.0,95877.0,1839296.0,036930,https://kr.tradingview.com/symbols/KRX-036930/
에스티아이 *,37950.0,+6.01%,1228182.0,46099.0,1121115.0,039440,https://kr.tradingview.com/symbols/KRX-039440/
와이씨 *,19730.0,+5.85%,2760197.0,54870.0,2374807.0,232140,https://kr.tradingview.com/symbols/KRX-232140/
넥스틴 *,98500.0,+5.46%,185152.0,18133.0,216421.0,348210,https://kr.tradingview.com/symbols/KRX-348210/
테크윙 *,50000.0,+5.04%,2460715.0,122960.0,3085243.0,089030,https://kr.tradingview.com/symbols/KRX-089030/
HPSP *,46500.0,+4.85%,4383831.0,205129.0,4520785.0,403870,https://kr.tradingview.com/symbols/KRX-403870/
코미코 *,126700.0,+4.71%,294012.0,37528.0,361274.0,183300,https://kr.tradingview.com/symbols/KRX-183300/
유니셈 *,11490.0,+4.55%,2384767.0,27651.0,912909.0,036200,https://kr.tradingview.com/symbols/KRX-036200/
이오테크닉스 *,376000.0,+4.30%,299087.0,113410.0,323083.0,039030,https://kr.tradingview.com/symbols/KRX-039030/
라온로보틱스 *,19670.0,+4.29%,2917577.0,59093.0,9528632.0,232680,https://kr.tradingview.com/symbols/KRX-232680/
엑시콘 *,24500.0,+4.26%,1368787.0,34580.0,1025164.0,092870,https://kr.tradingview.com/symbols/KRX-092870/
한미반도체,211000.0,+3.69%,4364912.0,918293.0,7160116.0,042700,https://kr.tradingview.com/symbols/KRX-042700/
